Time,Tk,R
496,"21,5905475","17,5275039"
497,"21,5948276","17,5261497"
498,"21,5920944","17,5268173"
499,"21,5953197","17,5287113"
500,"21,5919971","17,5269813"
501,"21,5767898","17,5273246"
502,"21,5602779","17,5269241"
503,"21,5429859","17,527132"
504,"21,5824203","17,5272312"
505,"21,573698","17,5279006"
506,"21,5564002","17,5280952"
507,"21,5677661","17,5286636"
508,"21,5642547","17,5287532"
509,"21,5420837","17,5285606"
510,"21,5338268","17,5286083"
511,"21,524374","17,5289306"
512,"21,5181903","17,5288543"
513,"21,5092525","17,5288696"
514,"21,5073776","17,5293521"
515,"21,5069122","17,5299091"
516,"21,5028438","17,5302295"
517,"21,4707489","17,5294189"
518,"21,4549541","17,5296115"
519,"21,4565315","17,5299777"
520,"21,4565181","17,531002"
521,"21,4491043","17,5309696"
522,"21,4420642","17,5307826"
523,"21,4262886","17,5307807"
524,"21,4090595","17,5314083"
525,"21,3939228","17,5313739"
526,"21,3912334","17,5315284"
527,"21,3899993","17,5316257"
528,"21,5121917","17,5318126"
529,"21,6169509","17,5320873"
530,"21,6509113","17,5320816"
531,"21,6996688","17,5322723"
532,"21,726202","17,5322494"
533,"21,7210674","17,5324745"
534,"21,7008342","17,5319976"
535,"21,7265472","17,5328559"
536,"21,725233","17,5327816"
537,"21,7188911","17,5327491"
538,"21,7077064","17,5332221"
539,"21,7181072","17,5333385"
540,"21,696825","17,5335769"
541,"21,66049","17,5335578"
542,"21,6365489","17,534275"
543,"21,5958251","17,5344524"
544,"21,5809421","17,5341415"
545,"21,6027927","17,5347099"
546,"21,6197338","17,5346908"
547,"21,6686401","17,535345"
548,"21,7227096","17,5353736"
549,"21,7566509","17,5353984"
550,"21,7569026","17,535324"
551,"21,743349","17,5354404"
552,"21,7287178","17,5351295"
553,"21,7277565","17,5357055"
554,"21,7443008","17,5358467"
555,"21,7363033","17,5359725"
556,"21,7282028","17,5360736"
557,"21,7256507","17,5365276"
558,"21,7330608","17,5369682"
559,"21,7372894","17,5368347"
560,"21,7177085","17,5369033"
561,"21,7113037","17,5369129"
562,"21,6811962","17,5373325"
563,"21,7018909","17,5373497"
564,"21,6736869","17,5369148"
565,"21,679655","17,5373783"
566,"21,698719","17,5374011"
567,"21,7342796","17,5374908"
568,"21,7541713","17,5376052"
569,"21,7580757","17,5371952"
570,"21,7115783","17,5382766"
571,"21,6745185","17,5385761"
572,"21,6677169","17,538742"
573,"21,7113418","17,5387973"
574,"21,7453861","17,5390338"
575,"21,7717533","17,5392341"
576,"21,7869033","17,5392608"
577,"21,8132534","17,5398082"
578,"21,8536262","17,5400428"
579,"21,8596439","17,5394172"
580,"21,8649559","17,539339"
581,"21,8391895","17,5395202"
582,"21,8361568","17,540266"
583,"21,8363533","17,5403079"
584,"21,8042697","17,5406818"
585,"21,7935371","17,5404129"
586,"21,808897","17,5404319"
587,"21,8217887","17,5409641"
588,"21,8240661","17,5411128"
589,"21,7943058","17,5411033"
590,"21,7689037","17,5415306"
591,"21,7527065","17,5417461"
592,"21,7524318","17,5418701"
593,"21,7455654","17,5420589"
594,"21,7224483","17,5421028"
595,"21,726799","17,5420589"
596,"21,7004928","17,5423946"
597,"21,70508","17,541624"
598,"21,7324504","17,54216"
599,"21,7540912","17,5420932"
600,"21,7639083","17,5428829"
601,"21,7504596","17,543127"
602,"21,7735099","17,5426788"
603,"21,759613","17,5430335"
604,"21,7088432","17,5428924"
605,"21,686655","17,5435276"
606,"21,6917724","17,5437297"
607,"21,7211132","17,5432701"
608,"21,7689342","17,5435981"
609,"21,7733001","17,5447292"
610,"21,782463","17,5444984"
611,"21,7745456","17,544588"
612,"21,7679195","17,5445709"
613,"21,7539749","17,5449619"
614,"21,7365188","17,5448665"
615,"21,7168655","17,5449676"
616,"21,7096061","17,5452213"
617,"21,7091159","17,545021"
618,"21,764326","17,545391"
619,"21,7897186","17,5459365"
620,"21,8089294","17,5451412"
621,"21,8565731","17,5455226"
622,"21,8871173","17,5448837"
623,"21,9157867","17,5452671"
624,"21,9362773","17,5454654"
625,"21,959156","17,5465087"
626,"21,9689083","17,5460777"
627,"21,9655494","17,5463523"
628,"21,9574718","17,5466232"
629,"21,9692363","17,5467548"
630,"21,9493942","17,5463447"
631,"21,9592571","17,5469112"
632,"21,9285678","17,5475406"
633,"21,9373798","17,5475616"
634,"21,9550228","17,5477676"
635,"21,9476432","17,5478553"
636,"21,9633255","17,5477886"
637,"21,9666576","17,5478363"
638,"21,9377079","17,5477733"
639,"21,909666","17,5480117"
640,"21,877367","17,5485153"
641,"21,8564262","17,5485763"
642,"21,818365","17,5492076"
643,"21,8006458","17,5487518"
644,"21,795948","17,5490074"
645,"21,786026","17,5487136"
646,"21,7723693","17,5491733"
647,"21,7742099","17,5493869"
648,"21,7819824","17,549673"
649,"21,7826461","17,5492134"
650,"21,7778739","17,549652"
651,"21,7832012","17,5501918"
652,"21,7867679","17,5494251"
653,"21,7818317","17,5494956"
654,"21,779766","17,5500087"
655,"21,7718887","17,5498714"
656,"21,7600574","17,5504302"
657,"21,7499809","17,5502433"
658,"21,7774085","17,5499172"
659,"21,8071918","17,5503845"
660,"21,7991466","17,5507144"
661,"21,8182754","17,5515079"
662,"21,8183498","17,5508003"
663,"21,8316478","17,5517635"
664,"21,8165512","17,5518417"
665,"21,8466815","17,5517635"
666,"21,8411197","17,5520744"
667,"21,8665447","17,5520267"
668,"21,8718833","17,5519866"
669,"21,8593368","17,5522289"
670,"21,8759403","17,5521621"
671,"21,8742313","17,5524654"
672,"21,8267307","17,5522155"
673,"21,7862777","17,5532379"
674,"21,7564086","17,5529747"
675,"21,7447376","17,5522117"
676,"21,7272701","17,5528125"
677,"21,7231407","17,5528163"
678,"21,745697","17,5530529"
679,"21,7638664","17,5530414"
680,"21,7752494","17,5532283"
681,"21,7685279","17,5536746"
682,"21,7510833","17,5536384"
683,"21,7272815","17,5543651"
684,"21,7484455","17,5538406"
685,"21,7463493","17,5540103"
686,"21,7202587","17,5542469"
687,"21,6878185","17,55443"
688,"21,6527614","17,5545101"
689,"21,6303672","17,5544586"
690,"21,6343021","17,5551719"
691,"21,6420898","17,5543766"
692,"21,6295261","17,5548229"
693,"21,6230316","17,5544948"
694,"21,6292514","17,5547657"
695,"21,6017589","17,5548324"
696,"21,5808677","17,5551986"
697,"21,7566432","17,5557079"
698,"21,8858356","17,5560016"
699,"21,944828","17,5560836"
700,"21,9714183","17,5560817"
701,"22,017662","17,5564537"
